antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"['77', '89']",['124'],4.182875308487054e-05,0.0007110888024427992,4.182875308487054e-05,1.0,1406.2941176470588,1.0,4.1799009126931745e-05,inf,0.9993307119551578,0.058823529411764705,1.0,0.5294117647058824
"['71', '92']",['14'],4.182875308487054e-05,0.0007110888024427992,4.182875308487054e-05,1.0,1406.2941176470588,1.0,4.1799009126931745e-05,inf,0.9993307119551578,0.058823529411764705,1.0,0.5294117647058824
"['241', '77']",['226'],4.182875308487054e-05,0.0009202325678671518,4.182875308487054e-05,1.0,1086.6818181818182,1.0,4.179026090400857e-05,inf,0.9991215594411444,0.045454545454545456,1.0,0.5227272727272727
"['228', '36']",['271'],4.182875308487054e-05,0.01083364704898147,4.182875308487054e-05,1.0,92.3050193050193,1.0,4.137559513745006e-05,inf,0.989207730276918,0.003861003861003861,1.0,0.5019305019305019
"['228', '132']",['13'],4.182875308487054e-05,0.01091730455515121,4.182875308487054e-05,1.0,91.59770114942529,1.0,4.1372095848280786e-05,inf,0.9891240692713127,0.003831417624521073,1.0,0.5019157088122606
"['71', '14']",['92'],4.182875308487054e-05,0.011042790814405823,4.182875308487054e-05,1.0,90.55681818181819,1.0,4.136684691452688e-05,inf,0.9889985777629048,0.003787878787878788,1.0,0.5018939393939394
"['77', '124']",['89'],4.182875308487054e-05,0.011921194629188104,4.182875308487054e-05,1.0,83.88421052631578,1.0,4.1330104378249546e-05,inf,0.9881201372040492,0.0035087719298245615,1.0,0.5017543859649123
"['124', '89']",['77'],4.182875308487054e-05,0.012548625925461162,4.182875308487054e-05,1.0,79.69,1.0,4.130385970948002e-05,inf,0.9874926796620096,0.0033333333333333335,1.0,0.5016666666666667
"['241', '226']",['77'],4.182875308487054e-05,0.012548625925461162,4.182875308487054e-05,1.0,79.69,1.0,4.130385970948002e-05,inf,0.9874926796620096,0.0033333333333333335,1.0,0.5016666666666667
"['228', '271']",['36'],4.182875308487054e-05,0.012632283431630902,4.182875308487054e-05,1.0,79.16225165562915,1.0,4.130036042031075e-05,inf,0.9874090186564043,0.0033112582781456954,1.0,0.5016556291390728
"['132', '13']",['228'],4.182875308487054e-05,0.01313422846864935,4.182875308487054e-05,1.0,76.13694267515923,1.0,4.127936468529513e-05,inf,0.9869070526227726,0.003184713375796178,1.0,0.5015923566878981
"['271', '36']",['228'],4.182875308487054e-05,0.01313422846864935,4.182875308487054e-05,1.0,76.13694267515923,1.0,4.127936468529513e-05,inf,0.9869070526227726,0.003184713375796178,1.0,0.5015923566878981
"['228', '13']",['132'],4.182875308487054e-05,0.013552515999498055,4.182875308487054e-05,1.0,73.78703703703704,1.0,4.126186823944878e-05,inf,0.9864887475947461,0.0030864197530864196,1.0,0.5015432098765432
"['14', '92']",['71'],4.182875308487054e-05,0.013636173505667796,4.182875308487054e-05,1.0,73.33435582822086,1.0,4.1258368950279505e-05,inf,0.9864050865891407,0.003067484662576687,1.0,0.5015337423312883
"['77', '226']",['241'],4.182875308487054e-05,0.013719831011837538,4.182875308487054e-05,1.0,72.88719512195121,1.0,4.125486966111024e-05,inf,0.9863214255835355,0.0030487804878048777,1.0,0.5015243902439024
