id,topic,visitor_id,user_id,timestamp,event_type,product_id,order_id_for_refund,is_recommended,recommendation_view
197,user-events,,904,2026-01-01T06:28:33,view,77,,False,
378,recommendation-actions,visitor_378,,2026-01-01T11:35:15,recommendation_clicked,170,,False,
409,recommendation-actions,,841,2026-01-01T20:02:43,recommendation_shown,185,,False,
114,user-events,,490,2026-01-01T20:22:34,view,62,,False,
468,recommendation-actions,,216,2026-01-02T06:57:09,recommendation_shown,38,,False,
458,user-events,,372,2026-01-02T13:50:56,quantity,179,,False,
123,user-events,,483,2026-01-02T21:07:17,view,113,,False,
366,user-events,,211,2026-01-02T22:25:36,view,34,,False,
467,user-events,,298,2026-01-03T00:14:30,view,149,,False,
342,user-events,visitor_342,,2026-01-03T06:07:46,view,103,,False,
261,user-events,visitor_261,,2026-01-03T10:21:09,view,154,,True,notification
355,user-events,,698,2026-01-03T16:30:27,view,64,,False,
33,user-events,,624,2026-01-04T08:29:41,add_to_cart,188,,False,
399,user-events,,374,2026-01-04T11:51:33,add_to_cart,171,,False,
82,user-events,,497,2026-01-05T10:33:57,transaction,135,,False,
394,user-events,,131,2026-01-06T01:33:03,add_to_cart,39,,False,
475,recommendation-actions,,775,2026-01-06T02:36:36,recommendation_clicked,,,False,
131,user-events,,449,2026-01-06T06:05:15,view,50,,False,
358,user-events,,643,2026-01-06T10:32:21,view,12,,False,
286,recommendation-actions,,75,2026-01-06T10:49:08,recommendation_accepted,60,,False,
328,user-events,,121,2026-01-06T20:26:36,view,122,,False,
202,recommendation-actions,,242,2026-01-07T09:09:11,recommendation_clicked,141,,False,
187,user-events,,470,2026-01-07T10:43:42,add_to_cart,42,,False,
348,user-events,,918,2026-01-07T11:42:28,quantity,22,,False,
301,recommendation-actions,,881,2026-01-07T21:11:30,recommendation_shown,46,,False,
4,user-events,,707,2026-01-08T11:03:05,view,,,True,product_detail
392,user-events,,285,2026-01-08T12:52:55,delete_from_cart,14,,False,
161,recommendation-actions,,381,2026-01-09T00:11:04,recommendation_shown,,,True,final_cart
97,recommendation-actions,,899,2026-01-09T13:30:27,recommendation_shown,18,,False,
24,user-events,,898,2026-01-09T20:32:28,add_to_cart,130,,False,
417,user-events,visitor_417,,2026-01-10T04:58:01,view,80,,False,
116,user-events,,221,2026-01-10T23:38:35,view,95,,False,
340,user-events,,332,2026-01-11T07:44:56,view,193,,False,
56,user-events,,652,2026-01-12T23:29:58,add_to_cart,144,,False,
251,user-events,,650,2026-01-13T11:37:09,view,96,,False,
228,user-events,,360,2026-01-13T16:42:33,quantity,26,,False,
44,notification-events,,381,2026-01-13T23:13:59,offer_accepted,122,ORD-CMVSW0PO,True,product_detail
47,user-events,,277,2026-01-14T09:00:06,add_to_cart,63,,False,
83,user-events,,315,2026-01-14T10:27:31,view,,,False,
431,user-events,,574,2026-01-15T16:27:47,transaction,193,,False,
236,recommendation-actions,visitor_236,,2026-01-15T19:04:36,recommendation_shown,62,,False,
430,user-events,,919,2026-01-16T00:38:41,view,124,,False,
42,user-events,visitor_42,,2026-01-16T04:30:00,view,167,,False,
119,user-events,,664,2026-01-17T04:37:42,view,179,,False,
396,recommendation-actions,,936,2026-01-19T04:01:20,recommendation_shown,158,,False,
382,recommendation-actions,,47,2026-01-19T04:04:44,recommendation_shown,162,,False,
17,user-events,visitor_17,,2026-01-19T06:04:52,view,149,,True,final_cart
421,recommendation-actions,visitor_421,,2026-01-19T06:18:48,recommendation_clicked,168,,False,
18,recommendation-actions,,616,2026-01-19T10:40:12,recommendation_shown,10,,False,
299,user-events,visitor_299,,2026-01-21T16:56:02,view,137,,True,notification
189,recommendation-actions,,763,2026-01-21T20:48:58,recommendation_clicked,47,,True,product_detail
280,user-events,,20,2026-01-21T21:53:07,view,174,,False,
105,user-events,,150,2026-01-22T01:44:35,add_to_cart,136,,True,notification
13,recommendation-actions,visitor_13,,2026-01-22T10:49:04,recommendation_clicked,16,,False,
476,user-events,,629,2026-01-22T13:07:38,view,158,,False,
296,user-events,,434,2026-01-22T18:22:28,view,31,,True,home
290,recommendation-actions,,54,2026-01-23T12:36:07,recommendation_rejected,32,,False,
127,user-events,visitor_127,,2026-01-23T20:16:41,delete_from_cart,4,,False,
306,user-events,,396,2026-01-24T23:31:46,view,82,,False,
347,recommendation-actions,,259,2026-01-25T13:34:28,recommendation_shown,,,False,
39,recommendation-actions,,775,2026-01-26T06:29:28,recommendation_clicked,,,False,
377,recommendation-actions,,138,2026-01-26T15:32:16,recommendation_shown,156,,False,
317,user-events,,314,2026-01-26T22:38:26,view,49,,False,
124,user-events,,217,2026-01-27T00:40:05,view,154,,False,
176,user-events,,324,2026-01-27T02:36:12,view,90,,True,final_cart
331,user-events,,496,2026-01-27T06:03:22,refund_request,161,ORD-300XWR89,False,
330,user-events,,961,2026-01-27T06:08:17,view,19,,False,
91,user-events,,850,2026-01-27T08:55:36,view,192,,False,
46,recommendation-actions,,207,2026-01-27T18:46:19,recommendation_shown,57,,False,
307,recommendation-actions,,958,2026-01-28T04:23:41,recommendation_accepted,48,,False,
391,user-events,,302,2026-01-28T13:47:03,add_to_cart,,,True,product_detail
497,user-events,visitor_497,,2026-01-28T15:14:25,add_to_cart,42,,False,
346,user-events,,752,2026-01-29T00:32:27,view,21,,False,
170,recommendation-actions,visitor_170,,2026-01-29T04:43:00,recommendation_shown,74,,True,product_detail
69,user-events,,451,2026-01-30T09:33:47,view,,,False,
312,user-events,,587,2026-01-30T14:13:20,view,98,,False,
7,user-events,,186,2026-02-01T00:17:46,view,70,,False,
134,recommendation-actions,,907,2026-02-01T00:52:52,recommendation_shown,182,,False,
422,user-events,,378,2026-02-01T20:00:54,view,108,,True,notification
130,user-events,visitor_130,,2026-02-01T20:38:40,view,107,,True,notification
265,user-events,,246,2026-02-02T04:15:12,add_to_cart,6,,False,
272,recommendation-actions,,682,2026-02-02T07:32:28,recommendation_shown,196,,False,
67,user-events,,425,2026-02-02T14:36:09,view,89,,False,
240,recommendation-actions,visitor_240,,2026-02-03T06:02:14,recommendation_shown,106,,False,
194,user-events,,551,2026-02-03T16:06:19,quantity,72,,True,home
14,user-events,,632,2026-02-03T23:04:06,view,25,,False,
480,user-events,visitor_480,,2026-02-04T02:49:47,add_to_cart,22,,True,final_cart
363,user-events,,213,2026-02-04T05:36:53,view,107,,False,
215,recommendation-actions,,550,2026-02-04T17:33:58,recommendation_shown,31,,False,
367,user-events,,915,2026-02-04T18:10:24,view,153,,False,
149,notification-events,,630,2026-02-04T21:34:29,discount_offer_sent,96,,True,home
246,user-events,,650,2026-02-05T13:55:44,view,149,,False,
