user_id,purchase_intent,indecisiveness,engagement_level
1,0.3756,0.2011,medium
2,0.3782,0.6205,low
3,0.2666,0.5806,low
4,0.3666,0.6653,high
5,0.1053,0.6018,low
6,0.2918,0.4837,medium
7,0.1223,0.569,low
8,0.162,0.5059,low
9,0.3205,0.3304,low
10,0.1395,0.2715,low
11,0.3221,0.8619,low
12,0.2966,0.4594,low
13,0.2852,0.7669,low
14,0.495,0.2812,medium
15,0.5614,0.194,low
16,0.4497,0.2478,low
17,0.3647,0.597,low
18,0.4069,0.4125,low
19,0.4237,0.1127,low
20,0.1713,0.7752,low
21,0.4874,0.6372,medium
22,0.1684,0.633,low
23,0.5588,0.7471,low
24,0.2079,0.334,medium
25,0.5931,0.7228,low
26,0.2039,0.5156,medium
27,0.3369,0.8485,high
28,0.5777,0.5177,low
29,0.1526,0.6647,low
30,0.3487,0.3366,medium
31,0.6258,0.2407,medium
32,0.3334,0.4088,medium
33,0.5576,0.2909,medium
34,0.2341,0.2419,low
35,0.3452,0.6201,medium
36,0.3723,0.5078,low
37,0.2028,0.8547,low
38,0.4195,0.8422,high
39,0.4607,0.1217,medium
40,0.0549,0.7741,low
41,0.4516,0.8047,low
42,0.1491,0.3937,low
43,0.6248,0.6873,medium
44,0.5989,0.6566,high
45,0.0821,0.6102,medium
46,0.0528,0.0699,medium
47,0.0867,0.5762,medium
48,0.2458,0.1702,low
49,0.1124,0.8129,low
50,0.1772,0.7078,low
51,0.3486,0.7654,low
52,0.1759,0.512,low
53,0.1198,0.7254,high
54,0.4416,0.4767,low
55,0.2102,0.3381,low
56,0.3586,0.3,high
57,0.2416,0.3785,medium
58,0.3513,0.2179,low
59,0.046,0.7859,low
60,0.5818,0.3815,medium
61,0.1554,0.4099,low
62,0.2482,0.4981,low
63,0.2549,0.2642,medium
64,0.0595,0.9106,low
65,0.3863,0.518,medium
66,0.303,0.7619,low
67,0.3912,0.7212,high
68,0.5429,0.3707,high
69,0.0221,0.2326,low
70,0.2213,0.5174,low
71,0.3604,0.7066,low
72,0.0676,0.1077,medium
73,0.004,0.2984,low
74,0.552,0.6071,medium
75,0.6766,0.7884,high
76,0.098,0.3013,low
77,0.3101,0.8013,low
78,0.445,0.4233,low
79,0.3102,0.7744,low
80,0.1523,0.0466,high
81,0.5391,0.7262,low
82,0.2629,0.4296,medium
83,0.0904,0.6162,low
84,0.1562,0.6851,low
85,0.4959,0.4496,low
86,0.4697,0.3434,medium
87,0.3603,0.3656,medium
88,0.2335,0.5181,low
89,0.0547,0.8747,medium
90,0.1268,0.5355,low
91,0.371,0.779,low
92,0.5772,0.6197,low
93,0.0886,0.2256,low
94,0.44,0.1313,medium
95,0.0833,0.9053,low
96,0.4109,0.9611,medium
97,0.486,0.212,high
98,0.3667,0.3431,low
99,0.3884,0.5018,medium
100,0.251,0.3428,high
101,0.1656,0.8147,low
102,0.0306,0.3918,low
103,0.4019,0.447,low
104,0.2572,0.2319,low
105,0.4463,0.0315,high
106,0.5844,0.8773,low
107,0.7116,0.3777,low
108,0.1512,0.8769,low
109,0.5704,0.3048,low
110,0.3016,0.2571,high
111,0.1649,0.7153,medium
112,0.5047,0.4839,medium
113,0.1688,0.7238,low
114,0.3296,0.1253,high
115,0.0963,0.6541,high
116,0.2565,0.5639,high
117,0.3046,0.7716,high
118,0.1515,0.8616,medium
119,0.23,0.8614,medium
120,0.257,0.8182,low
121,0.1947,0.2332,low
122,0.0741,0.102,medium
123,0.0596,0.5015,low
124,0.1739,0.3881,medium
125,0.1954,0.6815,medium
126,0.2429,0.6175,medium
127,0.2949,0.709,low
128,0.0734,0.8078,high
129,0.6019,0.4937,low
130,0.2856,0.5826,medium
131,0.6218,0.3015,low
132,0.2015,0.3009,medium
133,0.1379,0.4561,medium
134,0.5253,0.786,high
135,0.5744,0.3205,low
136,0.156,0.8909,medium
137,0.2492,0.6055,low
138,0.0221,0.4141,low
139,0.1522,0.4779,low
140,0.2693,0.3013,medium
141,0.6335,0.5098,high
142,0.1426,0.2224,medium
143,0.0643,0.8299,low
144,0.1993,0.1571,low
145,0.3525,0.827,low
146,0.1119,0.7846,low
147,0.0372,0.4618,medium
148,0.4133,0.7924,low
149,0.3196,0.3152,medium
150,0.3021,0.2374,low
151,0.3142,0.7452,low
152,0.2875,0.375,low
153,0.2112,0.198,low
154,0.1595,0.6542,medium
155,0.2691,0.8523,medium
156,0.3281,0.4938,high
157,0.0385,0.4348,low
158,0.0896,0.4476,low
159,0.4495,0.4606,low
160,0.278,0.2474,medium
161,0.1189,0.1623,medium
