id,topic,visitor_id,user_id,timestamp,event_type,product_id,order_id_for_refund,is_recommended,recommendation_view
488,user-events,,959,2026-01-01T05:19:36,view,185,,False,
409,user-events,,660,2026-01-01T06:37:51,view,160,,False,
482,user-events,visitor_482,,2026-01-01T07:10:27,view,192,,False,
294,user-events,,290,2026-01-01T19:26:25,view,52,,False,
237,user-events,,364,2026-01-01T20:21:29,add_to_cart,13,,False,
190,user-events,,835,2026-01-02T07:35:54,view,,,False,
279,recommendation-actions,,993,2026-01-02T11:05:56,recommendation_clicked,22,,False,
175,user-events,,995,2026-01-02T12:55:18,view,167,,False,
70,user-events,,70,2026-01-02T22:20:36,add_to_cart,41,,False,
121,user-events,,624,2026-01-03T12:04:45,delete_from_cart,124,,False,
38,user-events,,155,2026-01-03T15:25:47,add_to_cart,145,,False,
366,user-events,,750,2026-01-04T04:19:44,view,118,,False,
167,recommendation-actions,,749,2026-01-04T22:46:22,recommendation_shown,62,,False,
180,recommendation-actions,,170,2026-01-05T11:14:09,recommendation_shown,14,,False,
399,user-events,,8,2026-01-05T12:02:42,add_to_cart,152,,False,
493,user-events,,372,2026-01-06T06:30:21,transaction,199,,False,
300,user-events,,803,2026-01-06T07:54:12,quantity,112,,True,product_detail
446,recommendation-actions,,712,2026-01-07T10:50:26,recommendation_shown,145,,False,
266,user-events,,643,2026-01-07T15:42:48,view,31,,False,
240,user-events,visitor_240,,2026-01-08T08:53:27,view,105,,True,product_detail
452,recommendation-actions,,56,2026-01-08T09:27:42,recommendation_clicked,11,,False,
99,user-events,,184,2026-01-08T10:06:13,view,192,,False,
19,recommendation-actions,visitor_19,,2026-01-08T11:59:39,recommendation_shown,143,,False,
110,recommendation-actions,visitor_110,,2026-01-09T00:53:02,recommendation_clicked,88,,False,
463,recommendation-actions,visitor_463,,2026-01-09T13:15:32,recommendation_rejected,198,,False,
270,user-events,,983,2026-01-09T18:22:38,view,10,,False,
286,user-events,,469,2026-01-09T19:31:23,view,72,,False,
464,user-events,,51,2026-01-10T04:08:57,view,47,,False,
453,recommendation-actions,,453,2026-01-10T05:23:37,recommendation_shown,157,,False,
267,user-events,visitor_267,,2026-01-10T21:49:54,view,115,,False,
26,user-events,,627,2026-01-11T00:03:12,view,92,,False,
21,recommendation-actions,,350,2026-01-11T01:41:32,recommendation_shown,199,,False,
136,user-events,,16,2026-01-11T11:01:43,view,153,,False,
351,user-events,,160,2026-01-11T20:27:17,quantity,186,,True,notification
470,user-events,visitor_470,,2026-01-11T21:28:58,add_to_cart,164,,False,
411,user-events,,72,2026-01-11T21:57:39,transaction,190,,False,
456,user-events,visitor_456,,2026-01-12T19:05:29,view,39,,False,
35,user-events,,100,2026-01-12T23:27:22,add_to_cart,6,,False,
362,user-events,,745,2026-01-13T02:09:36,view,166,,False,
22,user-events,,132,2026-01-13T23:17:43,view,140,,False,
253,user-events,visitor_253,,2026-01-14T07:48:42,add_to_cart,162,,False,
215,recommendation-actions,,562,2026-01-14T08:26:54,recommendation_shown,6,,False,
55,recommendation-actions,,788,2026-01-14T18:57:26,recommendation_shown,142,,False,
27,user-events,,114,2026-01-14T23:25:33,add_to_cart,4,,True,home
96,user-events,,752,2026-01-15T09:48:46,quantity,9,,False,
361,recommendation-actions,,985,2026-01-15T20:03:35,recommendation_rejected,12,,False,
122,user-events,visitor_122,,2026-01-16T03:22:41,quantity,200,,False,
328,user-events,,211,2026-01-16T06:23:09,add_to_cart,108,,False,
256,recommendation-actions,,189,2026-01-16T06:25:09,recommendation_shown,121,,False,
436,user-events,,607,2026-01-19T08:10:57,view,119,,False,
289,user-events,,174,2026-01-19T08:12:30,add_to_cart,62,,False,
450,user-events,,496,2026-01-19T12:58:17,quantity,74,,False,
359,user-events,,188,2026-01-19T13:02:15,add_to_cart,53,,False,
166,user-events,,402,2026-01-19T21:30:44,view,166,,False,
227,user-events,,579,2026-01-20T07:19:59,view,20,,False,
272,user-events,,412,2026-01-20T16:05:58,view,153,,False,
489,user-events,,443,2026-01-20T23:55:35,delete_from_cart,187,,False,
466,user-events,,750,2026-01-21T02:29:18,refund_request,22,ORD-G2FNLA3S,False,
484,user-events,,231,2026-01-21T04:08:38,view,81,,False,
216,recommendation-actions,,265,2026-01-21T12:55:46,recommendation_shown,101,,False,
321,recommendation-actions,,86,2026-01-21T14:52:12,recommendation_accepted,108,,False,
20,user-events,,746,2026-01-21T20:30:03,quantity,86,,True,home
343,recommendation-actions,,99,2026-01-22T11:33:45,recommendation_shown,20,,False,
50,user-events,,709,2026-01-22T12:59:07,view,174,,False,
157,user-events,visitor_157,,2026-01-22T15:07:03,view,27,,False,
238,recommendation-actions,,995,2026-01-23T07:07:02,recommendation_shown,74,,False,
5,user-events,,705,2026-01-24T02:07:02,view,4,,False,
358,recommendation-actions,,877,2026-01-25T04:27:54,recommendation_shown,127,,False,
342,notification-events,,306,2026-01-25T15:04:04,discount_offer_sent,25,,True,product_detail
445,user-events,visitor_445,,2026-01-26T03:22:04,view,8,,True,product_detail
90,user-events,,468,2026-01-26T11:41:39,add_to_cart,60,,False,
187,user-events,,766,2026-01-26T15:11:39,view,190,,False,
63,user-events,,383,2026-01-26T22:19:49,delete_from_cart,5,,False,
104,notification-events,,439,2026-01-28T02:54:26,discount_offer_sent,152,,False,
481,user-events,,800,2026-01-28T06:24:47,view,181,,False,
46,recommendation-actions,,883,2026-01-28T15:36:27,recommendation_shown,151,,False,
229,user-events,,738,2026-01-28T17:20:10,quantity,23,,False,
406,recommendation-actions,,353,2026-01-28T23:30:27,recommendation_clicked,129,,False,
487,user-events,,341,2026-01-30T06:17:56,add_to_cart,194,,False,
76,user-events,,748,2026-01-30T11:24:20,view,153,,False,
78,user-events,,816,2026-01-30T21:07:13,transaction,40,,False,
193,user-events,,671,2026-01-31T15:37:01,view,199,,False,
433,user-events,visitor_433,,2026-01-31T19:59:20,refund_request,180,ORD-K6PF86B6,True,home
32,notification-events,,273,2026-02-01T03:20:09,discount_offer_sent,26,,False,
405,notification-events,visitor_405,,2026-02-01T22:18:55,offer_declined,38,,False,
174,recommendation-actions,,345,2026-02-01T22:49:42,recommendation_rejected,174,,True,final_cart
106,recommendation-actions,,303,2026-02-02T13:36:11,recommendation_shown,95,,False,
432,recommendation-actions,,771,2026-02-03T07:58:29,recommendation_shown,147,,False,
345,recommendation-actions,,538,2026-02-03T14:30:17,recommendation_shown,151,,False,
326,user-events,,783,2026-02-03T18:51:24,transaction,84,,True,notification
178,notification-events,,297,2026-02-04T11:43:30,offer_declined,114,,False,
113,user-events,,60,2026-02-04T15:51:49,view,158,,False,
115,user-events,,365,2026-02-04T23:45:06,view,113,,False,
85,user-events,,340,2026-02-06T02:04:33,view,118,,False,
364,user-events,visitor_364,,2026-02-06T08:32:57,view,144,,False,
474,user-events,,886,2026-02-07T06:19:43,view,155,,False,
72,user-events,,482,2026-02-07T15:07:44,view,19,,False,
395,user-events,,337,2026-02-08T19:30:36,view,97,,False,
355,user-events,,976,2026-02-09T12:12:06,add_to_cart,12,,False,
257,recommendation-actions,,173,2026-02-09T22:43:45,recommendation_shown,115,,False,
479,user-events,,410,2026-02-11T11:58:38,quantity,,,False,
112,user-events,,764,2026-02-11T21:55:18,view,65,,False,
291,recommendation-actions,,404,2026-02-12T01:22:55,recommendation_shown,40,,False,
288,user-events,,201,2026-02-12T05:11:30,view,,,False,
386,notification-events,visitor_386,,2026-02-12T07:43:22,offer_accepted,41,ORD-MFOU3N1W,False,
308,user-events,,136,2026-02-12T18:41:02,quantity,179,,True,final_cart
265,recommendation-actions,,527,2026-02-12T21:48:22,recommendation_accepted,88,,True,home
47,user-events,visitor_47,,2026-02-13T02:18:00,view,119,,False,
402,recommendation-actions,visitor_402,,2026-02-13T10:43:38,recommendation_accepted,,,False,
251,user-events,visitor_251,,2026-02-13T13:31:28,transaction,9,,False,
124,user-events,visitor_124,,2026-02-13T20:38:36,view,16,,False,
107,user-events,visitor_107,,2026-02-13T22:26:43,add_to_cart,49,,False,
13,user-events,,46,2026-02-14T06:22:56,quantity,25,,False,
454,user-events,,349,2026-02-14T07:00:27,view,29,,False,
413,user-events,,223,2026-02-15T02:35:58,view,6,,True,product_detail
307,user-events,,276,2026-02-15T20:05:19,view,94,,False,
425,user-events,,611,2026-02-16T00:27:44,delete_from_cart,67,,False,
179,recommendation-actions,,216,2026-02-16T15:36:05,recommendation_clicked,,,True,final_cart
297,notification-events,visitor_297,,2026-02-17T08:03:43,reminder_sent,101,,False,
459,recommendation-actions,,842,2026-02-17T11:48:45,recommendation_shown,184,,False,
261,user-events,visitor_261,,2026-02-17T21:32:27,view,,,False,
429,user-events,,780,2026-02-18T01:28:32,view,37,,False,
11,user-events,,370,2026-02-18T09:03:45,view,60,,False,
